timestamp,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status
1727069212.587803,11.5,20.4,152456341,22431244134,UP
1727069214.591839,4.1,20.4,152596503,22431323593,UP
1727069216.5960157,3.6,20.5,152608735,22431330204,UP
1727069218.5998714,5.1,20.5,152726696,22431398399,UP
1727069220.6039777,1.5,20.5,152866203,22431466898,UP
1727069222.6082366,17.1,20.7,152981297,22431525890,UP
1727069224.6117177,5.0,20.7,153101459,22431595665,UP
1727069226.6156716,2.5,20.7,153237495,22431659393,UP
1727069228.6191034,8.5,20.3,153250947,22431670927,UP
1727069230.6232753,2.5,20.3,153369905,22431737532,UP
1727069232.627192,11.5,20.5,153504146,22431805268,UP
1727069234.6302593,2.0,20.6,153517804,22431812707,UP
1727069236.6340823,3.0,20.5,153531151,22431824384,UP
1727069238.6373818,9.0,20.6,153665946,22431887767,UP
1727069240.6414273,1.5,20.6,153681296,22431901827,UP
1727069242.6452622,2.5,20.6,153816177,22431975323,UP
1727069244.6488225,1.5,20.6,153957971,22432050166,UP
1727069246.6524365,3.0,20.6,154077771,22432114929,UP
1727069248.6564448,1.5,20.2,154093455,22432126626,UP
1727069250.6603498,1.5,20.2,154340335,22432249367,UP
1727069252.6640024,2.5,20.2,154460827,22432318872,UP
1727069254.668126,1.5,20.5,154587265,22432384575,UP
1727069256.6724663,2.0,20.5,154724549,22432453994,UP
1727069258.6768105,1.0,20.5,154844742,22432516194,UP
1727069260.6808243,1.5,20.5,154854768,22432522218,UP
1727069262.6847687,3.0,20.5,157748538,22432575428,UP
1727069264.6890507,1.5,20.6,157763464,22432587834,UP
1727069266.6931796,2.0,20.6,157778362,22432601071,UP
1727069268.6972759,2.0,20.6,157914238,22432665942,UP
1727069270.7013497,2.5,20.6,158034831,22432731557,UP
1727069272.7052836,3.0,20.6,158160730,22432804508,UP
1727069274.7092524,1.0,20.7,158198971,22432822205,UP
1727069276.7127802,3.5,20.7,158317037,22432883605,UP
1727069278.7168007,2.0,20.7,158441737,22432955091,UP
1727069280.720779,1.5,20.7,158589466,22433033386,UP
1727069282.7248108,1.5,20.7,158714425,22433100796,UP
1727069284.729021,1.5,20.4,158841871,22433168603,UP
1727069286.7332015,2.0,20.4,158983221,22433240596,UP
1727069288.737116,2.0,20.4,158996375,22433247493,UP
1727069290.7413776,1.5,20.4,159006372,22433253506,UP
1727069292.7453952,2.0,20.4,159034314,22433263191,UP
1727069294.7494252,2.5,20.7,159045075,22433269550,UP
1727069296.7534308,4.5,20.6,159054570,22433275271,UP
1727069298.7576451,5.0,20.6,159083421,22433285449,UP
1727069300.7620823,1.5,20.6,159093324,22433291350,UP
1727069302.766096,2.0,20.6,159115591,22433303898,UP
1727069304.770552,1.5,20.4,159144967,22433314373,UP
1727069306.7741997,2.0,20.4,159154377,22433320013,UP
1727069308.7782588,2.0,20.4,159164705,22433326139,UP
1727069310.7820594,2.0,20.4,159193115,22433336076,UP
1727069312.7855847,1.5,20.4,159202512,22433341703,UP
1727069314.789406,11.5,20.3,159213285,22433348074,UP
1727069316.7934613,3.0,20.3,159241133,22433357713,UP
1727069318.7975612,2.0,20.3,159251461,22433363839,UP
1727069320.8015924,1.5,20.3,159261389,22433369749,UP
1727069322.8058639,3.0,20.4,159290026,22433379852,UP
1727069324.8101637,33.3,20.6,159310405,22433404805,UP
1727069326.8142362,27.3,21.5,162331456,22435301206,UP
1727069328.8175735,12.1,22.2,174952593,22443537067,UP
1727069330.8221312,48.7,23.5,186571245,22450260613,UP
1727069332.8273072,41.7,24.5,196282741,22455411752,UP
1727069334.831233,52.5,25.4,196522338,22455606854,UP
1727069336.8366868,64.6,27.0,196599794,22455714932,UP
1727069495.813887,27.4,31.4,201428206,22460470169,UP
1727069497.8167405,14.3,31.3,201503200,22460538802,UP
1727069499.819352,5.6,31.5,201557999,22460588456,UP
1727069507.5526774,53.5,34.4,201802945,22460781934,UP
1727069509.555038,6.0,34.4,201872336,22460837443,UP
1727069635.9740298,17.7,33.1,207172917,22462368975,UP
1727069637.9762545,12.0,33.1,207401596,22462536469,UP
1727069639.9786909,9.6,33.3,207566230,22462626746,UP
1727069641.98153,3.5,33.0,207735307,22462730978,UP
1727069643.9837341,2.0,33.0,207948199,22462872277,UP
1727069645.9860313,2.0,33.1,208137597,22462981143,UP
1727069647.988948,9.1,33.2,208340531,22463113226,UP
1727069649.9911199,10.1,33.1,208504300,22463215150,UP
1727069651.9935954,11.5,33.3,208672691,22463307635,UP
1727069653.9960225,1.0,33.3,208831308,22463406643,UP
1727069655.9986115,2.5,33.3,208989040,22463501894,UP
1727069658.0019765,16.2,33.3,209173410,22463611755,UP
1727069660.0042386,11.2,33.4,209338969,22463713465,UP
1727069662.0075166,7.0,33.4,209508669,22463824877,UP
1727069664.0098252,3.0,33.4,209720152,22463960103,UP
1727069666.0122035,3.5,33.0,209906681,22464087818,UP
1727069668.0146077,16.2,33.2,210117799,22464232055,UP
1727069670.017556,5.1,33.3,210334371,22464368986,UP
1727069672.0193057,7.5,33.5,210542308,22464513181,UP
1727069674.0228736,10.1,33.5,210758531,22464667451,UP
1727069676.026444,5.0,33.5,210990920,22464819596,UP
1727069678.0290248,11.5,33.5,211081853,22464903676,UP
1727069680.032186,3.0,33.5,211282898,22465040625,UP
1727069682.0362961,7.0,33.0,211377707,22465118205,UP
1727069684.0401115,5.5,33.3,211472965,22465207853,UP
